MP:0005282	decreased fatty acid level
HP:0000256	Macrocephaly
HP:0001476	Delayed closure of the anterior fontanelle
HP:0008285	Transient hypophosphatemia
HP:0000935	Thickened cortex of long bones
HP:0000028	Cryptorchidism
HP:0000926	Platyspondyly
HP:0011927	Short digit
HP:0000519	Congenital cataract
HP:0003196	Short nose
HP:0002007	Frontal bossing
HP:0000526	Aniridia
HP:0000160	Narrow mouth
HP:0000316	Hypertelorism
HP:0000772	Abnormality of the ribs
HP:0001746	Asplenia
HP:0006703	Aplasia/Hypoplasia of the lungs
HP:0000540	Hypermetropia
HP:0008678	Renal hypoplasia/aplasia
HP:0011220	Prominent forehead
HP:0009882	Short distal phalanx of finger
HP:0001620	High pitched voice
HP:0002269	Abnormality of neuronal migration
HP:0010804	Tented upper lip vermilion
HP:0002135	Basal ganglia calcification
HP:0008736	Hypoplasia of penis
HP:0004331	Decreased skull ossification
HP:0003100	Slender long bone
HP:0000612	Iris coloboma
HP:0006270	Hypoplastic spleen
HP:0000889	Abnormality of the clavicles
HP:0001163	Abnormality of the metacarpal bones
HP:0000463	Anteverted nares
HP:0001838	Rocker bottom foot
HP:0000322	Short philtrum
HP:0001182	Tapered finger
HP:0000238	Hydrocephalus
HP:0007862	Retinal calcification
HP:0000235	Abnormality of the fontanelles and cranial sutures
HP:0000581	Blepharophimosis
HP:0000368	Low-set, posteriorly rotated ears
HP:0000582	Upslanted palpebral fissure
HP:0009924	Aplasia/Hypoplasia involving the nose
HP:0010296	Ankyloglossia
HP:0001541	Ascites
HP:0003015	Flared metaphyses
HP:0002652	Skeletal dysplasia
HP:0006487	Bowing of the long bones
HP:0000592	Blue sclerae
HP:0100253	Abnormality of the medullary cavity of the long bones
HP:0002901	Hypocalcemia
HP:0003510	Severe short stature
HP:0001562	Oligohydramnios
HP:0000601	Hypotelorism
HP:0011039	Abnormality of the helix
HP:0100840	Aplasia/Hypoplasia of the eyebrow
HP:0002757	Recurrent fractures
HP:0000482	Microcornea
MP:0004792	abnormal synaptic vesicle number
MP:0002910	abnormal excitatory postsynaptic currents
ZP:0002403	abnormal(ly) increased occurrence retina apoptotic process
ZP:0006000	abnormal(ly) present in fewer numbers in organism blue sensitive photoreceptor cell
ZP:0006001	abnormal(ly) present in fewer numbers in organism green sensitive photoreceptor cell
ZP:0008574	abnormal(ly) shape photoreceptor cell nucleus
ZP:0006002	abnormal(ly) present in fewer numbers in organism red sensitive photoreceptor cell
ZP:0006389	abnormal(ly) absent retinal outer nuclear layer
ZP:0008573	abnormal(ly) aplastic/hypoplastic photoreceptor cell photoreceptor outer segment
ZP:0008572	abnormal(ly) aplastic retinal outer nuclear layer
ZP:0008571	abnormal(ly) aplastic retinal outer plexiform layer
ZP:0005995	abnormal(ly) degenerate retina photoreceptor cell
ZP:0002697	abnormal(ly) present in fewer numbers in organism retinal rod cell
ZP:0009993	abnormal(ly) present in fewer numbers in organism retinal photoreceptor layer retinal cone cell
ZP:0005999	abnormal(ly) present in fewer numbers in organism UV sensitive photoreceptor cell
ZP:0001868	abnormal(ly) arrested optokinetic behavior
ZP:0001278	abnormal(ly) apoptotic photoreceptor cell
ZP:0005610	abnormal(ly) present in fewer numbers in organism photoreceptor cell
HP:0011986	Ectopic ossification
MP:0002048	increased lung adenoma incidence
MP:0008014	increased lung tumor incidence
MP:0008714	increased lung carcinoma incidence
MP:0008963	increased carbon dioxide production
MP:0002411	decreased susceptibility to bacterial infection
HP:0001789	Hydrops fetalis
MP:0003794	delayed somite formation
MP:0001700	abnormal embryo turning
MP:0003403	absent placental labyrinth
MP:0004073	caudal body truncation
MP:0002861	abnormal tail bud morphology
MP:0009656	delayed chorioallantoic fusion
MP:0004251	failure of heart looping
MP:0012062	small tail bud
MP:0004252	abnormal direction of heart looping
MP:0001726	abnormal allantois morphology
MP:0000269	abnormal heart looping
HP:0000027	Azoospermia
HP:0002217	Slow-growing hair
HP:0000615	Abnormality of the pupil
HP:0008046	Abnormality of the retinal vasculature
HP:0005599	Hypopigmentation of hair
HP:0002224	Woolly hair
HP:0000486	Strabismus
HP:0002213	Fine hair
MP:0002098	abnormal vibrissa morphology
MP:0000652	enlarged sebaceous gland
MP:0003849	greasy coat
MP:0010202	focal dorsal hair loss
MP:0000377	abnormal hair follicle morphology
MP:0003811	abnormal hair cortex morphology
MP:0010179	rough coat
MP:0003809	abnormal hair shaft morphology
HP:0001596	Alopecia
MP:0010685	abnormal hair follicle inner root sheath morphology
HP:0000963	Thin skin
MP:0000418	focal hair loss
MP:0001274	curly vibrissae
HP:0002212	Curly hair
ZP:0003467	abnormal(ly) decreased process quality larval locomotory behavior
ZP:0002230	abnormal(ly) decreased length CaP motoneuron axon
ZP:0003468	abnormal(ly) process quality collateral sprouting
ZP:0002212	abnormal(ly) decreased process quality thigmotaxis
MP:0008392	decreased primordial germ cell number
MP:0008391	abnormal primordial germ cell morphology
HP:0008222	Female infertility
MP:0004806	absent germ cells
HP:0003198	Myopathy
HP:0003457	EMG abnormality
HP:0100578	Lipoatrophy
HP:0000982	Palmoplantar keratoderma
HP:0001639	Hypertrophic cardiomyopathy
HP:0001653	Mitral regurgitation
MP:0000820	abnormal choroid plexus morphology
MP:0000279	ventricular hypoplasia
MP:0003641	small lung
MP:0009890	cleft secondary palate
HP:0003270	Abdominal distention
HP:0000157	Abnormality of the tongue
MP:0003416	premature bone ossification
MP:0004035	abnormal sublingual gland morphology
MP:0005587	abnormal Meckel's cartilage morphology
HP:0003194	Short nasal bridge
MP:0009522	submandibular gland hypoplasia
MP:0009527	abnormal sublingual duct morphology
MP:0009525	abnormal submandibular duct morphology
HP:0000176	Submucous cleft hard palate
MP:0009885	abnormal palatal shelf elevation
HP:0002089	Pulmonary hypoplasia
ZP:0000233	abnormal(ly) decreased functionality heart
ZP:0007470	abnormal(ly) increased angle to ceratohyal cartilage towards ceratohyal cartilage
ZP:0000133	abnormal(ly) decreased size ethmoid cartilage
ZP:0003303	abnormal(ly) absent ceratobranchial 2 cartilage
ZP:0003268	abnormal(ly) disrupted embryonic neurocranium morphogenesis
ZP:0003300	abnormal(ly) shortened Meckel's cartilage
HP:0001662	Bradycardia
ZP:0000871	abnormal(ly) disrupted embryonic viscerocranium morphogenesis
ZP:0000812	abnormal(ly) shortened neurocranial trabecula
ZP:0003307	abnormal(ly) decreased thickness neurocranium
ZP:0003306	abnormal(ly) absent ceratobranchial 5 cartilage
ZP:0000062	abnormal(ly) decreased size palatoquadrate cartilage
ZP:0000688	abnormal(ly) present in fewer numbers in organism cardiac muscle cell
ZP:0003305	abnormal(ly) absent ceratobranchial 4 cartilage
ZP:0003304	abnormal(ly) absent ceratobranchial 3 cartilage
MP:0010038	abnormal placenta physiology
MP:0009763	increased sensitivity to induced morbidity/mortality
MP:0006060	increased cerebral infarction size
MP:0005088	increased acute inflammation
MP:0011704	decreased fibroblast proliferation
MP:0003076	increased susceptibility to ischemic brain injury
MP:0008916	abnormal astrocyte physiology
MP:0005650	abnormal limb bud morphology
MP:0010948	abnormal double-strand DNA break repair
MP:0008263	abnormal hippocampus CA1 region morphology
MP:0011003	reduced AMPA-mediated synaptic currents
MP:0002917	decreased synaptic depression
MP:0003461	abnormal response to novel object
MP:0009766	increased sensitivity to xenobiotic induced morbidity/mortality
MP:0001364	decreased anxiety-related response
MP:0008143	abnormal dendrite morphology
MP:0001361	social withdrawal
MP:0001473	reduced long term potentiation
HP:0000752	Hyperactivity
MP:0000814	absent dentate gyrus
MP:0008285	abnormal hippocampus granule cell layer
MP:0009538	abnormal synapse morphology
MP:0000788	abnormal cerebral cortex morphology
MP:0010011	ectopic hippocampus pyramidal cells
MP:0002578	impaired ability to fire action potentials
MP:0000794	abnormal parietal lobe morphology
MP:0000861	disorganized barrel cortex
MP:0009450	abnormal axon fasciculation
MP:0000792	abnormal cortical marginal zone morphology
MP:0009940	abnormal hippocampus pyramidal cell morphology
MP:0008443	absent subplate
MP:0002906	increased susceptibility to pharmacologically induced seizures
HP:0100710	Impulsivity
MP:0001454	abnormal cued conditioning behavior
MP:0001034	abnormal parasympathetic ganglion morphology
MP:0004948	abnormal neuronal precursor proliferation
MP:0002983	increased retinal ganglion cell number
HP:0012331	Abnormal autonomic nervous system morphology
MP:0004263	abnormal limb posture
MP:0008516	disorganized retinal outer nuclear layer
MP:0008031	decreased Cajal-Retzius cell number
MP:0000872	abnormal cerebellum external granule cell layer morphology
HP:0002450	Abnormality of the motor neurons
MP:0000812	abnormal dentate gyrus morphology
MP:0005547	abnormal Muller cell morphology
MP:0006309	decreased retinal ganglion cell number
MP:0006069	abnormal retinal neuronal layer morphology
MP:0003733	abnormal retinal inner nuclear layer morphology
MP:0006068	abnormal horizontal cell morphology
MP:0003728	abnormal retinal photoreceptor layer morphology
MP:0004981	decreased neuronal precursor cell number
MP:0004100	abnormal spinal cord interneuron morphology
MP:0003731	abnormal retinal outer nuclear layer morphology
MP:0008511	thin retinal inner nuclear layer
MP:0006073	abnormal retinal bipolar cell morphology
MP:0008106	decreased amacrine cell number
MP:0001082	abnormal geniculate ganglion morphology
MP:0008446	decreased retinal cone cell number
MP:0000832	abnormal thalamus morphology
MP:0009937	abnormal neuron differentiation
MP:0001327	decreased retinal photoreceptor cell number
MP:0001084	abnormal petrosal ganglion morphology
MP:0003648	abnormal radial glial cell morphology
HP:0010827	Abnormality of the seventh cranial nerve
MP:0000961	abnormal dorsal root ganglion morphology
MP:0002797	increased thigmotaxis
MP:0008874	decreased physiological sensitivity to xenobiotic
MP:0001363	increased anxiety-related response
ZP:0002311	abnormal(ly) necrotic head
ZP:0001546	abnormal(ly) grey yolk
ZP:0000040	abnormal(ly) quality yolk
ZP:0002256	abnormal(ly) distended fourth ventricle
ZP:0000945	abnormal(ly) quality pigment cell
ZP:0000761	abnormal(ly) decreased thickness extension
ZP:0001173	abnormal(ly) decreased pigmentation whole organism
ZP:0000159	abnormal(ly) shape whole organism
ZP:0000569	abnormal(ly) circular yolk
ZP:0004336	abnormal(ly) delayed pigmentation
MP:0001730	embryonic growth arrest
MP:0003222	increased cardiomyocyte apoptosis
MP:0003037	increased myocardial infarction size
MP:0002753	dilated heart left ventricle
HP:0012379	Abnormal enzyme/coenzyme activity
MP:0003436	decreased susceptibility to induced arthritis
MP:0003156	abnormal leukocyte migration
HP:0012312	Monocytopenia
MP:0005395	other phenotype
MP:0010053	decreased grip strength
MP:0008261	arrest of male meiosis
MP:0003830	abnormal testis development
MP:0004901	decreased male germ cell number
MP:0006380	abnormal spermatid morphology
HP:0008734	Decreased testicular size
MP:0002784	abnormal Sertoli cell morphology
MP:0003886	abnormal embryonic epiblast morphology
MP:0011096	complete embryonic lethality between implantation and somite formation
MP:0003566	abnormal cell adhesion
MP:0001674	abnormal triploblastic development
ZP:0003165	abnormal(ly) decreased length intersegmental vessel
ZP:0000577	abnormal(ly) morphology central nervous system
ZP:0002479	abnormal(ly) morphology dorsal longitudinal anastomotic vessel
ZP:0003470	abnormal(ly) decreased contractility cardiac ventricle
ZP:0007693	abnormal(ly) vacuolated skeletal muscle cell
ZP:0007692	abnormal(ly) malformed trunk vasculature
MP:0000592	short tail
ZP:0007695	abnormal(ly) present in fewer numbers in organism cardiac muscle cell intercalated disc
ZP:0000222	abnormal(ly) disrupted heart looping
ZP:0007694	abnormal(ly) decreased thickness cardiac muscle cell intercalated disc
ZP:0000528	abnormal(ly) decreased size cardiac ventricle
ZP:0007691	abnormal(ly) decreased thickness intersegmental vessel
ZP:0002084	abnormal(ly) disrupted angiogenesis
ZP:0001683	abnormal(ly) paralysed whole organism
MP:0003140	dilated heart atrium
ZP:0000961	abnormal(ly) bent trunk
MP:0008022	dilated heart ventricle
ZP:0002721	abnormal(ly) disorganized skeletal muscle cell myofibril
MP:0005498	hyporesponsive to tactile stimuli
HP:0003470	Paralysis
MP:0008412	increased cellular sensitivity to oxidative stress
HP:0003202	Amyotrophy
MP:0001053	abnormal neuromuscular synapse morphology
MP:0000939	decreased motor neuron number
HP:0000764	Peripheral axonal degeneration
MP:0000938	motor neuron degeneration
MP:0009674	decreased birth weight
MP:0003674	oxidative stress
MP:0005404	abnormal axon morphology
MP:0002651	abnormal sciatic nerve morphology
MP:0003718	maternal effect
MP:0001080	defasiculated phrenic nerve
MP:0012055	abnormal phrenic nerve innervation pattern to diaphragm
HP:0003307	Hyperlordosis
HP:0000821	Hypothyroidism
HP:0001305	Dandy-Walker malformation
HP:0000003	Multicystic kidney dysplasia
HP:0005616	Accelerated skeletal maturation
HP:0006744	Adrenocortical carcinoma
HP:0000280	Coarse facial features
HP:0009908	Anterior creases of earlobe
HP:0003006	Neuroblastoma
HP:0000158	Macroglossia
HP:0002667	Nephroblastoma
HP:0000995	Melanocytic nevus
HP:0000150	Gonadoblastoma
HP:0000269	Prominent occiput
HP:0002167	Neurological speech impairment
HP:0001548	Overgrowth
HP:0000239	Large fontanelles
HP:0000098	Tall stature
HP:0002884	Hepatoblastoma
HP:0001540	Diastasis recti
HP:0000383	Abnormality of periauricular region
HP:0100589	Urogenital fistula
HP:0001738	Exocrine pancreatic insufficiency
HP:0002104	Apnea
HP:0000520	Proptosis
HP:0001528	Hemihypertrophy
HP:0001537	Umbilical hernia
HP:0001539	Omphalocele
HP:0000105	Enlarged kidneys
HP:0000973	Cutis laxa
HP:0008186	Adrenocortical cytomegaly
HP:0100242	Sarcoma
HP:0001998	Neonatal hypoglycemia
HP:0006277	Pancreatic hyperplasia
HP:0000776	Congenital diaphragmatic hernia
MP:0005553	increased circulating creatinine level
MP:0011369	increased renal glomerulus apoptosis
HP:0000083	Renal insufficiency
HP:0000096	Glomerulosclerosis
HP:0000093	Proteinuria
MP:0011282	increased podocyte apoptosis
MP:0011753	decreased podocyte number
MP:0001375	abnormal mating preference
MP:0002566	abnormal sexual interaction
MP:0009433	polyovular ovarian follicle
ZP:0007623	abnormal(ly) decreased distance midbrain hindbrain boundary towards otic vesicle
ZP:0000311	abnormal(ly) increased occurrence apoptotic process
ZP:0002503	abnormal(ly) decreased size midbrain
ZP:0003937	abnormal(ly) decreased size midbrain hindbrain boundary
ZP:0000160	abnormal(ly) dorsalized whole organism
ZP:0000794	abnormal(ly) malformed hindbrain
ZP:0007624	abnormal(ly) increased distance otic vesicle towards otic vesicle
ZP:0003690	abnormal(ly) disrupted axis specification
MP:0011733	fused somites
ZP:0000397	abnormal(ly) necrotic central nervous system
ZP:0001631	abnormal(ly) decreased length notochord
ZP:0001454	abnormal(ly) aplastic extension
MP:0001658	increased mortality induced by gamma-irradiation
MP:0011107	partial embryonic lethality between somite formation and embryo turning
MP:0002007	increased cellular sensitivity to gamma-irradiation
MP:0008943	increased sensitivity to induced cell death
MP:0009541	increased thymocyte apoptosis
MP:0004503	decreased incidence of tumors by ionizing radiation induction
MP:0004500	increased incidence of tumors by ionizing radiation induction
HP:0006872	Cerebral hypoplasia
MP:0002741	small olfactory bulb
MP:0008948	decreased neuron number
MP:0000809	absent hippocampus
ZP:0007186	abnormal(ly) cellular quality telencephalon postero-dorsal  region
ZP:0003182	abnormal(ly) disrupted sprouting angiogenesis
ZP:0000153	abnormal(ly) increased width somite
ZP:0000143	abnormal(ly) disrupted post-anal tail morphogenesis
ZP:0003243	abnormal(ly) disrupted non-canonical Wnt signaling pathway
ZP:0003242	abnormal(ly) increased occurrence protein phosphorylation
ZP:0001314	abnormal(ly) disrupted convergent extension involved in axis elongation
ZP:0000543	abnormal(ly) process quality myeloid cell differentiation
ZP:0000552	abnormal(ly) present in fewer numbers in organism ventral wall of dorsal aorta hematopoietic stem cell
MP:0003988	disorganized embryonic tissue
MP:0001683	absent mesoderm
MP:0011097	complete embryonic lethality between somite formation and embryo turning
MP:0004787	abnormal dorsal aorta morphology
MP:0012253	abnormal intersomitic vessel morphology
MP:0006057	decreased vascular endothelial cell number
MP:0002375	abnormal thymus medulla morphology
MP:0000715	decreased thymocyte number
HP:0003254	Abnormality of DNA repair
MP:0010039	abnormal trophoblast giant cell proliferation
MP:0006413	increased T cell apoptosis
MP:0004045	abnormal cell cycle checkpoint function
MP:0004965	inner cell mass degeneration
MP:0003085	abnormal egg cylinder morphology
MP:0010380	abnormal inner cell mass apoptosis
MP:0012113	decreased inner cell mass proliferation
MP:0004029	spontaneous chromosome breakage
MP:0012114	absent inner cell mass proliferation
MP:0005092	decreased double-positive T cell number
HP:0000473	Torticollis
HP:0002346	Head tremor
HP:0012048	Oromandibular dystonia
HP:0000643	Blepharospasm
HP:0003159	Hyperoxaluria
HP:0008672	Calcium oxalate nephrolithiasis
HP:0001942	Metabolic acidosis
HP:0002912	Methylmalonic acidemia
HP:0001254	Lethargy
HP:0008872	Feeding difficulties in infancy
HP:0002919	Ketonuria
HP:0001875	Neutropenia
HP:0001873	Thrombocytopenia
HP:0001259	Coma
HP:0001946	Ketosis
HP:0001944	Dehydration
HP:0002013	Vomiting
HP:0001876	Pancytopenia
HP:0001987	Hyperammonemia
HP:0012120	Methylmalonic aciduria
HP:0003145	Decreased adenosylcobalamin
HP:0003210	Decreased methylmalonyl-CoA mutase activity
HP:0002154	Hyperglycinemia
MP:0006074	abnormal retinal rod bipolar cell morphology
MP:0005551	abnormal eye electrophysiology
HP:0001761	Pes cavus
HP:0009027	Foot dorsiflexor weakness
HP:0002460	Distal muscle weakness
HP:0001765	Hammertoe
HP:0003693	Distal amyotrophy
HP:0001265	Hyporeflexia
HP:0002936	Distal sensory impairment
HP:0002380	Fasciculations
HP:0006886	Impaired distal vibration sensation
HP:0001284	Areflexia
HP:0000762	Decreased nerve conduction velocity
ZP:0001670	abnormal(ly) arrested locomotory behavior
ZP:0001323	abnormal(ly) disrupted brain development
ZP:0001488	abnormal(ly) disorganized somite
ZP:0005609	abnormal(ly) disorganized motor neuron
ZP:0000637	abnormal(ly) curved post-vent region
ZP:0008280	abnormal(ly) decreased length whole organism anatomical axis
HP:0001337	Tremor
MP:0004334	utricular macular degeneration
MP:0003164	decreased posterior semicircular canal size
MP:0004332	utricular degeneration
MP:0004333	abnormal utricular macula morphology
MP:0003166	decreased superior semicircular canal size
MP:0003161	absent lateral semicircular canal
MP:0004331	vestibular saccular macula degeneration
MP:0004328	decreased vestibular hair cell number
MP:0003163	absent posterior semicircular canal
MP:0003162	decreased lateral semicircular canal size
MP:0004329	vestibular saccular degeneration
MP:0008321	small adenohypophysis
MP:0000743	muscle spasm
MP:0002858	abnormal posterior semicircular canal morphology
MP:0003069	abnormal superior semicircular canal morphology
MP:0006090	abnormal utricle morphology
MP:0006089	abnormal vestibular saccule morphology
MP:0003062	abnormal coping response
MP:0000035	abnormal membranous labyrinth morphology
MP:0001728	failure of embryo implantation
MP:0006011	abnormal endolymphatic duct morphology
MP:0000036	absent semicircular canals
MP:0000037	abnormal lateral semicircular canal morphology
HP:0011380	Morphological abnormality of the semicircular canal
MP:0005120	decreased circulating growth hormone level
MP:0000041	absent endolymphatic duct
MP:0003845	abnormal decidualization
MP:0001394	circling
MP:0004249	abnormal crista ampullaris morphology
HP:0012506	Small pituitary gland
MP:0004314	absent inner ear vestibule
MP:0001752	abnormal hypothalamus secretion
MP:0004427	abnormal vestibular labyrinth morphology
MP:0004425	abnormal otolith organ morphology
ZP:0000200	abnormal(ly) disrupted startle response
ZP:0001000	abnormal(ly) balance whole organism
ZP:0000084	abnormal(ly) present in fewer numbers in organism posterior lateral line neuromast
ZP:0001003	abnormal(ly) fused with otolith towards otolith
ZP:0000993	abnormal(ly) decreased size inner ear
ZP:0000992	abnormal(ly) fused with anterior macula towards posterior macula
ZP:0000996	abnormal(ly) mislocalised lapillus
ZP:0000998	abnormal(ly) present in fewer numbers in organism hair cell anterior macula
MP:0000488	abnormal intestinal epithelium morphology
MP:0006358	absent pinna reflex
HP:0006958	Abnormal auditory evoked potentials
HP:0001883	Talipes
HP:0001696	Situs inversus totalis
HP:0002980	Femoral bowing
HP:0001395	Hepatic fibrosis
HP:0000800	Cystic renal dysplasia
HP:0001660	Truncus arteriosus
HP:0004734	Renal cortical microcysts
ZP:0001445	abnormal(ly) cystic pronephros
ZP:0002506	abnormal(ly) process quality heart looping
ZP:0002505	abnormal(ly) absent heart looping
ZP:0002518	abnormal(ly) increased diameter pronephric proximal convoluted tubule
ZP:0002516	abnormal(ly) cystic pronephric glomerulus
ZP:0002517	abnormal(ly) increased diameter pronephric glomerulus pronephric tubule
ZP:0002575	abnormal(ly) centered heart
ZP:0000636	abnormal(ly) curved ventral trunk
MP:0011682	renal glomerulus cysts
MP:0004133	heterotaxia
MP:0009050	dilated proximal convoluted tubules
HP:0000107	Renal cyst
HP:0006695	Atrioventricular canal defect
HP:0001719	Double outlet right ventricle
MP:0011307	kidney medulla cysts
MP:0000531	right pulmonary isomerism
MP:0001386	abnormal maternal nurturing
HP:0000803	Renal cortical cysts
MP:0004860	dilated kidney collecting duct
MP:0004131	abnormal embryonic cilium morphology
MP:0004066	abnormal primitive node morphology
MP:0008933	abnormal embryonic cilium physiology
MP:0004046	abnormal mitosis
MP:0001706	abnormal left-right axis patterning
ZP:0006632	abnormal(ly) altered number of inner ear towards otolith
ZP:0006629	abnormal(ly) present in greater numbers in organism pronephric duct axonemal microtubule
ZP:0008303	abnormal(ly) lacks parts or has fewer parts of type inner ear towards otolith
ZP:0001192	abnormal(ly) edematous heart
ZP:0002044	abnormal(ly) cystic kidney
ZP:0008296	abnormal(ly) decreased length olfactory placode cilium
ZP:0004080	abnormal(ly) disrupted cilium assembly
ZP:0000116	abnormal(ly) curved ventral whole organism anterior/posterior axis
ZP:0002563	abnormal(ly) hydrocephalic head
ZP:0009259	abnormal(ly) present in fewer numbers in organism endothelial cell
ZP:0000172	abnormal(ly) present in fewer numbers in organism blood cell
ZP:0009083	abnormal(ly) aplastic endocardium
ZP:0004833	abnormal(ly) disrupted endothelial cell development
ZP:0005201	abnormal(ly) present in fewer numbers in organism blood vasculature
ZP:0000449	abnormal(ly) disrupted blood vessel development
HP:0002591	Polyphagia
MP:0010953	abnormal fatty acid oxidation
HP:0001959	Polydipsia
MP:0001780	decreased brown adipose tissue amount
MP:0010956	abnormal mitochondrial ATP synthesis coupled electron transport
MP:0002727	decreased circulating insulin level
MP:0009125	decreased brown fat cell lipid droplet size
MP:0009122	decreased white fat cell lipid droplet size
HP:0000687	Widely spaced teeth
HP:0001642	Pulmonic stenosis
HP:0000414	Bulbous nose
HP:0000682	Abnormality of dental enamel
HP:0001647	Bicuspid aortic valve
HP:0000400	Macrotia
HP:0000286	Epicanthus
HP:0004283	Narrow palm
HP:0003422	Vertebral segmentation defect
HP:0005487	Prominent metopic ridge
HP:0011822	Broad chin
HP:0010719	Abnormality of hair texture
HP:0002021	Pyloric stenosis
HP:0000396	Overfolded helix
HP:0000691	Microdontia
HP:0001611	Nasal speech
HP:0002465	Poor speech
HP:0002948	Vertebral fusion
HP:0002827	Hip dislocation
